school_id,unemployment_rate,pct_adults_college,pct_children_married_family,median_household_income,act_score,pct_free_reduced_lunch,school_name,state_name,state_abbr,district_name,school_level,school_type,school_year
1000080000,0.000639844886088221,0.0066276459268762,0.00767619047619048,89320.0,19.4981684981685,0.00112412177985948,Middletown High School,DELAWARE,DE,Appoquinimink School District,High,Regular School,2016-2017
1000170000,0.00044738500315059904,0.0069206204379562,0.006412825651302601,56500.0,17.7374847374847,0.00296960249415433,Cape Henlopen High School,DELAWARE,DE,Cape Henlopen School District,High,Regular School,2016-2017
1000180000,0.0007701352145796591,0.0064006024096385505,0.00834401709401709,54015.0,18.2454212454212,0.00262641138929799,Caesar Rodney High School,DELAWARE,DE,Caesar Rodney School District,High,Regular School,2016-2017
1000190000,0.000801201802704056,0.00673491975650249,0.00483333333333333,50649.0,17.034188034188,0.00425117924528302,Dover High School,DELAWARE,DE,Capital School District,High,Regular School,2016-2017
1000270000,0.00092850049652433,0.00552924117931368,0.00433151432469304,55347.0,17.8522588522588,0.00171474358974359,Delmar High School,DELAWARE,DE,Delmar School District,High,Regular School,2016-2017
1000680000,0.0010771018984889601,0.00465486725663717,0.00513728323699422,46644.0,18.008547008547,0.0030439560439560398,Indian River High School,DELAWARE,DE,Indian River School District,High,Regular School,2016-2017
1000790000,0.0013956783563584799,0.0053248136315229,0.00508990318118949,40625.0,17.1782661782662,0.00389887640449438,Lake Forest High School,DELAWARE,DE,Lake Forest School District,High,Regular School,2016-2017
1200030000,0.00121073672187322,0.00732411304870716,0.00360215053763441,19782.0,24.035409035409,0.0037962962962962998,GAINESVILLE HIGH SCHOOL,FLORIDA,FL,ALACHUA,High,Regular School,2016-2017
1200060000,0.00094651789149673,0.00380206479174083,0.00792228390166534,65391.0,17.4908424908425,0.00387903225806452,BAKER COUNTY SENIOR HIGH SCHOOL,FLORIDA,FL,BAKER,High,Regular School,2016-2017
1200090000,0.00209809264305177,0.00545277507302824,0.00746478873239437,25747.0,22.6190476190476,0.00484598046581518,BAY HIGH SCHOOL,FLORIDA,FL,BAY,High,Regular School,2016-2017
1200120000,0.00130543933054393,0.00473026080743123,0.005139103554868621,33636.0,17.979242979243,0.00414841849148418,BRADFORD HIGH SCHOOL,FLORIDA,FL,BRADFORD,High,Regular School,2016-2017
1200150000,0.0020293554562859,0.0063278688524590196,0.005,29099.0,22.032967032967,0.00316187594553706,FRANCES WALKER HALFWAY HOUSE,FLORIDA,FL,BREVARD,High,Alternative School,2016-2017
1300060000,0.000384241245136187,0.0041557342361405,0.00581447963800905,41856.0,19.004884004884,0.00722388059701493,Appling County High School,GEORGIA,GA,Appling County,High,Regular School,2016-2017
1300090000,0.00103039670273055,0.00257465698143664,0.00611570247933884,27891.0,17.4908424908425,0.00690322580645161,Atkinson County High School,GEORGIA,GA,Atkinson County,High,Regular School,2016-2017
1300120000,0.000931655899353961,0.00843335439039798,0.00309473684210526,57625.0,21.3492063492064,0.0038796992481203003,Grady High School,GEORGIA,GA,Atlanta Public Schools,High,Regular School,2016-2017
1301530000,0.0006890353505092869,0.0045528044466902505,0.00498064516129032,43281.0,19.2735042735043,0.006908023483365951,Crawford County High School,GEORGIA,GA,Crawford County,High,Regular School,2016-2017
1303120000,0.000779458963778083,0.00373605355435129,0.00608035714285714,35518.0,17.9059829059829,0.00501510574018127,Johnson County High School,GEORGIA,GA,Johnson County,High,Regular School,2016-2017
1303270000,0.000761441879303362,0.0050317823544368204,0.00792837465564738,61304.0,20.2258852258852,0.00299772899318698,Lee County High School,GEORGIA,GA,Lee County,High,Regular School,2016-2017
1304440000,0.0017724867724867698,0.00452459016393443,0.00180064308681672,25391.0,21.9108669108669,0.0057823567289117805,Rome High School,GEORGIA,GA,Rome City,High,Regular School,2016-2017
1304620000,0.0006342494714587741,0.00521857923497268,0.0051624548736462095,37147.0,16.6361416361416,0.00689473684210526,Americus Sumter High School (Old Americus-Sumter HS S),GEORGIA,GA,Sumter County,High,Regular School,2016-2017
1703510000,0.000730804810360777,0.00589827344843677,0.00712172923777019,52930.0,20.2,0.00373188405797101,Altamont High School,ILLINOIS,IL,Altamont CUSD 10,High,Regular School,2016-2017
1703600000,0.0012384259259259301,0.006189573459715641,0.00686018957345972,32917.0,19.4,0.0046962962962963,Alton High School,ILLINOIS,IL,Alton CUSD 11,High,Regular School,2016-2017
1703690000,0.00038483630097645003,0.0045420054200542,0.00789473684210526,42692.0,20.7,0.0025957446808510596,Amboy High School,ILLINOIS,IL,Amboy CUSD 272,High,Regular School,2016-2017
